case_id,pseudonym,chapter,chapter_title,gender,age_at_contact,occupation,location_state,marital_status,year_contacted_mack,first_experience_age,number_of_sessions,experience_types,entity_description,physical_evidence,key_themes,transformative_effects,source
MACK-01,Ed,3,You Will Remember When You Need to Know,M,45,Technician at high-tech firm,Massachusetts,Married,1992,High school (~16),1,Missing time; Transported to craft; Transparent pod/room with curved walls; Sexual encounter with female entity; Telepathic communication; Environmental/political messages; Childhood visitations,"Long silvery hair, large forehead, large dark eyes",,Memory recovery through meditation; Information reception and storage; Delayed recall (30 years); Hypnosis as clarifying tool,Interest in alien intelligence; Engagement with UFO community (MUFON),"Mack (1994), Chapter 3, pp. 37-77"
MACK-02,Sheila,4,"Personally, I Don't Believe in UFOs",F,44,Social worker,Not specified (Northeast US),Not specified,1992,~36 (electrical dreams began after mother's death),,Electrical dreams; Paralysis; Invasive procedures; Childhood experiences,Not detailed in available excerpts,,Mental health professional perspectives; Relationship between trauma and abduction experiences; Mother's death as trigger for recall; Incest/family trauma history,Spiritual reframing; Famous quote: 'Saying I benefited spiritually from being abducted by aliens is like saying an Auschwitz survivor benefited spiritually from being treated like a laboratory animal',"Mack (1994), Chapter 4, pp. 55-77"
MACK-03,Scott,5,Summer of '92,M,24,"Actor, filmmaker, auto mechanic (works with father), piano player/songwriter, builder",Northeast US,Not specified,1991,Age 3,,"Cross-generational abductions; Partial memories of 'short guys'; Rod-like device applied to head; Dual human/alien identity; Medical symptoms (headaches, dizziness, seizures)",Short beings; rod-like device causing unconsciousness,Medical history of headaches/dizziness/seizures,Dramatic personal transformation; Dual human/alien identity discovery; Cross-generational family experiences; Resistance to formal education but strong intelligence,Expanded sensitivity and thoughtfulness; Confronting reality of experiences,"Mack (1994), Chapter 5, pp. 78-97"
MACK-03b,Lee,5,"Summer of '92 (Scott's sister, same chapter)",F,22,Not specified; spiritual seeker,Northeast US,Not specified,1992,Early teenager,1,Taken aboard UFO; Probing instrument inserted in vagina; Egg/tissue removal; Fears of sexual intimacy; Cross-generational family experiences,Alien beings (not further specified),,Initially attributed trauma to sexual abuse; Spiritual reframing of experiences; Cross-generational family pattern; Tibetan Buddhism connection,Spiritual development journey to India; Adopted spiritual interpretation,"Mack (1994), Chapter 5 (subsection on Lee)"
MACK-04,Jerry,6,An Alienation of Affections,F,30,Housewife (self-described 'ordinary housewife'),Not specified (Northeast US),Married,1992,Age 7,4,UFO dreams; Abduction encounters; Sexual/reproductive procedures; Missing time; Childhood experiences from age 7,Not detailed in available excerpts,,Intrusive sexual/reproductive procedures; Impact on intimate life and well-being; Alienation of affections; Mother's role in dismissing/acknowledging experiences; Extensive journaling (hundreds of pages),Dual identity awareness; Philosophical development,"Mack (1994), Chapter 6, pp. 98-129"
MACK-05,Catherine,7,If They Would Ever Ask Me,F,22,"Music student, nightclub receptionist",Massachusetts,Not specified (single implied),1991,Age 3 (earliest); age 22 (recent),,Missing time (45 minutes); Nosebleed (first ever); UFO sighting correlation (Boston UFO); Childhood abductions from age 3; Paralysis episodes; Transported to craft; Transparent 'fish tank' rooms with curved walls; Blue light columns; Levitation; Observed ~40 cases of baby-alien entities in liquid; Reproductive procedures,Small beings; transparent rooms with curved walls,Nosebleed (first ever); 45-minute missing time episode,Corroboration with independent UFO sighting; Childhood experiences from age 3; Christmas 1990 Alaska incident; Tank containing ~40 alien-baby entities,,"Mack (1994), Chapter 7, pp. 130-163"
MACK-06,Joe,8,Deliverance from the Insane Asylum,M,34,Psychotherapist; professional development consultant; designer/leader of nature adventures,Not specified,Married (wife expecting first child),1992,Early childhood,4,ET experiences from early childhood; Beings with large heads; Needle in neck; Fear of the dark; Past life experience; Birth/death cycle awareness,Small beings with large heads; needle insertion,,Abduction in context of fatherhood; Past life experiences; Birth and death cycles; Fear confrontation (helps others overcome fears); Male-female integration,Felt 'fragmented parts' coming together; Increase in 'soul's love and energy'; Male-female integration,"Mack (1994), Chapter 8, pp. 167-191"
MACK-07,Sara,9,Sara: Species Merger and Human Evolution,F,28,Graduate student,Northeast US (anonymity requested),Has boyfriend,,Childhood (paranormal history),1,"Telepathic communication from small beings; Spontaneous ambidextrous drawing; Drawings of alien beings (focus on eyes); Paranormal experiences from childhood; Levitation during seance; Invisible hands sensation; Presence phenomena (stairs, windows, bedroom); Planetary preservation messages; Ecological/geomagnetic information",Small beings communicating telepathically,Pain at base of skull; Spontaneous left-hand drawing ability,Species merger concept; Human evolution; Spiritual approach to experiences; Ecological/planetary concern; Service orientation,Desire to serve and help the world; Powerful spiritual insights; Ecological awareness,"Mack (1994), Chapter 9, pp. 192-208"
MACK-08,Paul,10,Paul: Bridging Two Worlds,M,26,Advertising business owner (self-administered),New Hampshire,Single (living with parents),,Age 3,2,Strange being on stairs at home; Encounters since age 3; Visions of spaceships; Dual human/alien identity; Knowledge of human origins; Reptilian/dinosaur connections; Alien-human hybrid awareness,"Full bodysuits with large white heads, large dark eyes",,Dual human/alien identity; Mission as 'example' of love and openness; Transformative and healing powers; Bridging two worlds; Previous negative mental health professional experience,Mission to help humans overcome fears; Sense of dual identity; Love and openness,"Mack (1994), Chapter 10, pp. 209-232"
MACK-09,Eva,11,Eva's Mission,F,33,Assistant to a CPA,Not specified,Has daughter Sarah (age 6),,Early childhood,,Entities present day and night; Beings in room upon waking; Childhood paralysis episodes; Vaginal probing by 'midgets'; Reproductive procedures; Feelings of global mission,'Midgets' who probed; entities present day and night,,Global mission/purpose; Pioneer mentality; Concern for daughter's similar experiences; Isolation and burden of experiences; Vehicle for larger purpose,Sense of mission and purpose; Desire to help others,"Mack (1994), Chapter 11, pp. 233-257"
MACK-10,Dave,12,The Magic Mountain,M,38,Health care worker,Pennsylvania,Married,1992,Age 3,,Abduction experiences from age 3; Unexplained crescent-shaped scar; Missing time episodes; UFO sighting at age 19; Being staring through window; Anal probing; Chi/energy experiences; Female familiar entity,"Creature in window, female and familiar, compelling/controlling eyes",Unexplained crescent-shaped scar,Karate/martial arts and Chi experiences; Shamanic/spiritual dimension; Magic Mountain metaphor; Physical evidence (scar),Chi/energy awareness; Spiritual development through martial arts,"Mack (1994), Chapter 12, pp. 258-285"
MACK-11,Peter,13,Peter's Journey,M,34,Former hotel manager; recent acupuncture school graduate,Massachusetts,Not specified,1992,Not specified,7,Initially intensely traumatic abductions; Dual human/alien identity; Participation in hybrid breeding program; Apocalyptic visions of Earth destruction; Spiritual journey across dimensions,Not detailed in available excerpts,,Transformation of experience quality over time; Evolution of consciousness; Dual human/alien identity; Hybrid breeding program participation; Apocalyptic imagery; Public advocacy - went public with experiences,"Perceiving other dimensions/realities; Spiritual journey; Became public advocate (conferences, TV, radio)","Mack (1994), Chapter 13, pp. 286-329"
MACK-12,Carlos,14,A Being of Light,M,55,"Fine arts professor at small southern college; artist, writer, playwright, theatrical director",Southern US (small college town),"Married, three grown children (two sons, one daughter)",1992,~53 (Easter Sunday 1990 lost time); also age 9 UFO sighting,2,Lost time (6+ hours) on Easter Sunday 1990; Being of Light encounter; Reptilian beings; UFO sighting at age 9 (family witnesses); Previous hypnosis sessions (17 hours with local psychiatrist); Healing abilities,Being of Light; reptilian creatures; grays,,Voluntary abductee concept; Cross-cultural/international experience (Scotland); Artistic/creative expression of experiences; Environmental activism; Co-authored chapter with Mack; Prefers term other than 'abduction',"Environmental/ecological awareness; Healing orientation; Community service (prison, handicapped, mentally ill, elderly)","Mack (1994), Chapter 14, pp. 330-364"
MACK-13,Arthur,15,Arthur: A Voluntary Abductee,M,38,Highly successful businessman; homes on both coasts,Bicoastal (US),Not specified,1993,Age 9 (dramatic UFO sighting with family),,UFO sighting at age 9 (family witnesses); Ascending to higher realm; Voluntary participation; Gray beings; Reptilian beings,Grays; reptilian beings,,Voluntary abductee; Democratization of capitalism; Sustainable environment; Planetary future; Social/ecological responsibility attributed to experiences; Positive human future example,Profound and lasting ecological awareness from age 9; Commitment to sustainable business; Social responsibility,"Mack (1994), Chapter 15, pp. 365-383"
